metric,category,service,company,value,rank
Total,Fixed Broadband,Ooredoo Qatar,Ooredoo,5.0,7
Governance,Fixed Broadband,Ooredoo Qatar,Ooredoo,2.0,7
Freedom of Expression,Fixed Broadband,Ooredoo Qatar,Ooredoo,15.0,6
Privacy,Fixed Broadband,Ooredoo Qatar,Ooredoo,0.0,7
Total,Search,Google Search,Google,68.0,1
Governance,Search,Google Search,Google,72.0,2
Freedom of Expression,Search,Google Search,Google,68.0,1
Privacy,Search,Google Search,Google,68.0,1
Total,Search,Bing,Microsoft,64.0,2
Governance,Search,Bing,Microsoft,87.0,1
Freedom of Expression,Search,Bing,Microsoft,65.0,2
Privacy,Search,Bing,Microsoft,55.0,2
Total,Search,Daum Search ,Kakao,47.0,3
Governance,Search,Daum Search ,Kakao,36.0,3
Freedom of Expression,Search,Daum Search ,Kakao,48.0,3
Privacy,Search,Daum Search ,Kakao,50.0,3
Total,Search,Yandex Search,Yandex,27.0,4
Governance,Search,Yandex Search,Yandex,10.0,4
Freedom of Expression,Search,Yandex Search,Yandex,23.0,4
Privacy,Search,Yandex Search,Yandex,35.0,4
Total,Search,Baidu Search,Baidu,12.0,5
Governance,Search,Baidu Search,Baidu,0.0,5
Freedom of Expression,Search,Baidu Search,Baidu,8.0,5
Privacy,Search,Baidu Search,Baidu,17.0,5
Total,Email Services,Gmail,Google,65.0,1
Governance,Email Services,Gmail,Google,70.0,3
Freedom of Expression,Email Services,Gmail,Google,58.0,2
Privacy,Email Services,Gmail,Google,67.0,1
Total,Email Services,Outlook.com,Microsoft,65.0,1
Governance,Email Services,Outlook.com,Microsoft,88.0,1
Freedom of Expression,Email Services,Outlook.com,Microsoft,55.0,3
Privacy,Email Services,Outlook.com,Microsoft,60.0,2
Total,Email Services,Yahoo Mail,Yahoo,59.0,3
Governance,Email Services,Yahoo Mail,Yahoo,87.0,2
Freedom of Expression,Email Services,Yahoo Mail,Yahoo,28.0,5
Privacy,Email Services,Yahoo Mail,Yahoo,60.0,2
Total,Email Services,Daum Mail ,Kakao,54.0,4
Governance,Email Services,Daum Mail ,Kakao,36.0,4
Freedom of Expression,Email Services,Daum Mail ,Kakao,71.0,1
Privacy,Email Services,Daum Mail ,Kakao,54.0,4
Total,Email Services,Yandex Mail,Yandex,28.0,5
Governance,Email Services,Yandex Mail,Yandex,10.0,5
Freedom of Expression,Email Services,Yandex Mail,Yandex,25.0,6
Privacy,Email Services,Yandex Mail,Yandex,36.0,5
Total,Email Services,Mail.Ru,Mail.Ru,23.0,6
Governance,Email Services,Mail.Ru,Mail.Ru,7.0,6
Freedom of Expression,Email Services,Mail.Ru,Mail.Ru,36.0,4
Privacy,Email Services,Mail.Ru,Mail.Ru,24.0,6
Total,Cloud Services,iCloud,Apple,38.0,1
Governance,Cloud Services,iCloud,Apple,17.0,1
Freedom of Expression,Cloud Services,iCloud,Apple,29.0,1
Privacy,Cloud Services,iCloud,Apple,49.0,1
Total,Cloud Services,Yandex Disk,Yandex,28.0,2
Governance,Cloud Services,Yandex Disk,Yandex,10.0,2
Freedom of Expression,Cloud Services,Yandex Disk,Yandex,26.0,2
Privacy,Cloud Services,Yandex Disk,Yandex,36.0,2
Total,Cloud Services,Baidu Cloud,Baidu,14.0,3
Governance,Cloud Services,Baidu Cloud,Baidu,0.0,3
Freedom of Expression,Cloud Services,Baidu Cloud,Baidu,16.0,3
Privacy,Cloud Services,Baidu Cloud,Baidu,17.0,3
Total,Pre-and Post-Paid Mobile,AT&T,AT&T,49.0,1
Governance,Pre-and Post-Paid Mobile,AT&T,AT&T,67.0,3
Freedom of Expression,Pre-and Post-Paid Mobile,AT&T,AT&T,41.0,2
Privacy,Pre-and Post-Paid Mobile,AT&T,AT&T,48.0,1
Total,Pre-and Post-Paid Mobile,Vodafone UK,Vodafone,48.0,2
Governance,Pre-and Post-Paid Mobile,Vodafone UK,Vodafone,81.0,1
Freedom of Expression,Pre-and Post-Paid Mobile,Vodafone UK,Vodafone,45.0,1
Privacy,Pre-and Post-Paid Mobile,Vodafone UK,Vodafone,37.0,2
Total,Pre-and Post-Paid Mobile,Movistar,Telefónica,34.0,3
Governance,Pre-and Post-Paid Mobile,Movistar,Telefónica,58.0,4
Freedom of Expression,Pre-and Post-Paid Mobile,Movistar,Telefónica,29.0,3
Privacy,Pre-and Post-Paid Mobile,Movistar,Telefónica,29.0,3
Total,Pre-and Post-Paid Mobile,Orange France,Orange,31.0,4
Governance,Pre-and Post-Paid Mobile,Orange France,Orange,74.0,2
Freedom of Expression,Pre-and Post-Paid Mobile,Orange France,Orange,15.0,6
Privacy,Pre-and Post-Paid Mobile,Orange France,Orange,26.0,4
Total,Pre-and Post-Paid Mobile,Telcel,América Móvil,21.0,5
Governance,Pre-and Post-Paid Mobile,Telcel,América Móvil,21.0,6
Freedom of Expression,Pre-and Post-Paid Mobile,Telcel,América Móvil,16.0,4
Privacy,Pre-and Post-Paid Mobile,Telcel,América Móvil,24.0,5
Total,Pre-and Post-Paid Mobile,Celcom,Axiata,13.0,7
Governance,Pre-and Post-Paid Mobile,Celcom,Axiata,3.0,9
Freedom of Expression,Pre-and Post-Paid Mobile,Celcom,Axiata,13.0,8
Privacy,Pre-and Post-Paid Mobile,Celcom,Axiata,18.0,6
Total,Pre-and Post-Paid Mobile,Airtel India,Bharti Airtel,13.0,7
Governance,Pre-and Post-Paid Mobile,Airtel India,Bharti Airtel,14.0,7
Freedom of Expression,Pre-and Post-Paid Mobile,Airtel India,Bharti Airtel,8.0,10
Privacy,Pre-and Post-Paid Mobile,Airtel India,Bharti Airtel,17.0,7
Total,Pre-and Post-Paid Mobile,MTN South Africa,MTN,15.0,6
Governance,Pre-and Post-Paid Mobile,MTN South Africa,MTN,31.0,5
Freedom of Expression,Pre-and Post-Paid Mobile,MTN South Africa,MTN,13.0,8
Privacy,Pre-and Post-Paid Mobile,MTN South Africa,MTN,11.0,8
Total,Pre-and Post-Paid Mobile,Etisalat UAE,Etisalat,8.0,9
Governance,Pre-and Post-Paid Mobile,Etisalat UAE,Etisalat,8.0,8
Freedom of Expression,Pre-and Post-Paid Mobile,Etisalat UAE,Etisalat,16.0,4
Privacy,Pre-and Post-Paid Mobile,Etisalat UAE,Etisalat,2.0,9
Total,Pre-and Post-Paid Mobile,Ooredoo Qatar,Ooredoo,5.0,10
Governance,Pre-and Post-Paid Mobile,Ooredoo Qatar,Ooredoo,2.0,10
Freedom of Expression,Pre-and Post-Paid Mobile,Ooredoo Qatar,Ooredoo,14.0,7
Privacy,Pre-and Post-Paid Mobile,Ooredoo Qatar,Ooredoo,0.0,10
Total,Messaging & VoIP,Skype,Microsoft,59.0,1
Governance,Messaging & VoIP,Skype,Microsoft,88.0,1
Freedom of Expression,Messaging & VoIP,Skype,Microsoft,43.0,3
Privacy,Messaging & VoIP,Skype,Microsoft,59.0,1
Total,Messaging & VoIP,Messenger,Facebook,56.0,2
Governance,Messaging & VoIP,Messenger,Facebook,81.0,2
Freedom of Expression,Messaging & VoIP,Messenger,Facebook,39.0,4
Privacy,Messaging & VoIP,Messenger,Facebook,55.0,2
Total,Messaging & VoIP,KakaoTalk,Kakao,50.0,4
Governance,Messaging & VoIP,KakaoTalk,Kakao,35.0,4
Freedom of Expression,Messaging & VoIP,KakaoTalk,Kakao,54.0,1
Privacy,Messaging & VoIP,KakaoTalk,Kakao,53.0,3
Total,Messaging & VoIP,WhatsApp,Facebook,54.0,3
Governance,Messaging & VoIP,WhatsApp,Facebook,80.0,3
Freedom of Expression,Messaging & VoIP,WhatsApp,Facebook,45.0,2
Privacy,Messaging & VoIP,WhatsApp,Facebook,50.0,4
Total,Messaging & VoIP,iMessage,Apple,35.0,5
Governance,Messaging & VoIP,iMessage,Apple,17.0,5
Freedom of Expression,Messaging & VoIP,iMessage,Apple,18.0,6
Privacy,Messaging & VoIP,iMessage,Apple,50.0,4
Total,Messaging & VoIP,QQ,Tencent,23.0,6
Governance,Messaging & VoIP,QQ,Tencent,8.0,8
Freedom of Expression,Messaging & VoIP,QQ,Tencent,16.0,7
Privacy,Messaging & VoIP,QQ,Tencent,33.0,6
Total,Messaging & VoIP,WeChat,Tencent,23.0,6
Governance,Messaging & VoIP,WeChat,Tencent,11.0,6
Freedom of Expression,Messaging & VoIP,WeChat,Tencent,14.0,8
Privacy,Messaging & VoIP,WeChat,Tencent,31.0,7
Total,Messaging & VoIP,Mail.Ru Agent,Mail.Ru,19.0,8
Governance,Messaging & VoIP,Mail.Ru Agent,Mail.Ru,10.0,7
Freedom of Expression,Messaging & VoIP,Mail.Ru Agent,Mail.Ru,24.0,5
Privacy,Messaging & VoIP,Mail.Ru Agent,Mail.Ru,20.0,8
Total,Social Network & Blog,Twitter,Twitter,63.0,1
Governance,Social Network & Blog,Twitter,Twitter,30.0,3
Freedom of Expression,Social Network & Blog,Twitter,Twitter,72.0,1
Privacy,Social Network & Blog,Twitter,Twitter,70.0,1
Total,Social Network & Blog,Facebook,Facebook,54.0,3
Governance,Social Network & Blog,Facebook,Facebook,81.0,2
Freedom of Expression,Social Network & Blog,Facebook,Facebook,36.0,3
Privacy,Social Network & Blog,Facebook,Facebook,54.0,2
Total,Social Network & Blog,Tumblr,Yahoo,60.0,2
Governance,Social Network & Blog,Tumblr,Yahoo,89.0,1
Freedom of Expression,Social Network & Blog,Tumblr,Yahoo,59.0,2
Privacy,Social Network & Blog,Tumblr,Yahoo,50.0,3
Total,Social Network & Blog,Vkontakte,Mail.Ru,25.0,4
Governance,Social Network & Blog,Vkontakte,Mail.Ru,7.0,5
Freedom of Expression,Social Network & Blog,Vkontakte,Mail.Ru,15.0,4
Privacy,Social Network & Blog,Vkontakte,Mail.Ru,36.0,4
Total,Social Network & Blog,QZone,Tencent,21.0,5
Governance,Social Network & Blog,QZone,Tencent,8.0,4
Freedom of Expression,Social Network & Blog,QZone,Tencent,13.0,6
Privacy,Social Network & Blog,QZone,Tencent,29.0,5
Total,Social Network & Blog,Baidu PostBar,Baidu,14.0,6
Governance,Social Network & Blog,Baidu PostBar,Baidu,0.0,6
Freedom of Expression,Social Network & Blog,Baidu PostBar,Baidu,14.0,5
Privacy,Social Network & Blog,Baidu PostBar,Baidu,18.0,6
